FID,Tribe1
0,Blackfeet Tribe
0,Keweenaw Bay Indian Community
0,Lac Vieux Desert Band of Lake Superior Chippewa Indians
1,Coeur D'Alene Tribe
2,Coeur D'Alene Tribe
3,Nez Perce Tribe
4,Nez Perce Tribe
5,Nez Perce Tribe
6,Te-Moak Tribe of Western Shoshone
7,Shoshone-Paiute Tribes of the Duck Valley Reservation
8,Shoshone-Paiute Tribes of the Duck Valley Reservation
9,Te-Moak Tribe of Western Shoshone
10,Shoshone-Bannock Tribes
11,Confederated Tribes of the Goshute Reservation
11,Shoshone-Bannock Tribes
12,Confederated Tribes of the Colville Reservation
13,Confederated Salish and Kootenai Tribes of the Flathead Reservation
13,Confederated Tribes of the Colville Reservation
14,Confederated Salish and Kootenai Tribes of the Flathead Reservation
15,Blackfeet Tribe
15,Crow Tribe
15,Fort Belknap Indian Community
16,Blackfeet Tribe
16,Crow Tribe
16,Fort Belknap Indian Community
17,Blackfeet Tribe
17,Confederated Salish and Kootenai Tribes of the Flathead Reservation
17,Nez Perce Tribe
18,Crow Tribe
19,Duwamish Tribe
19,Suquamish Indian Tribe
20,Nisqually Indian Tribe
20,Puyallup Tribe
20,Squaxin Island Tribe
21,Confederated Tribes of the Umatilla Reservation
22,Confederated Tribes and Bands of the Yakama Nation
23,Confederated Tribes of the Colville Reservation
24,Confederated Tribes of the Colville Reservation
25,Confederated Tribes and Bands of the Yakama Nation
26,Blackfeet Tribe
27,Nez Perce Tribe
28,Nez Perce Tribe
29,Nez Perce Tribe
30,Confederated Tribes of the Colville Reservation
31,Confederated Tribes of the Colville Reservation
32,Confederated Tribes of the Grand Ronde Community
32,Confederated Tribes of the Siletz Indians
32,Confederated Tribes of the Warm Springs Reservation
33,Confederated Tribes of the Grand Ronde Community
33,Confederated Tribes of the Siletz Indians
33,Confederated Tribes of the Warm Springs Reservation
35,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians"
35,Confederated Tribes of the Grand Ronde Community
35,Umpqua Tribe
36,Confederated Tribes of the Grand Ronde Community
37,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians"
37,Confederated Tribes of the Grand Ronde Community
37,Confederated Tribes of the Siletz Indians
37,Coquille Indian Tribe
37,Umpqua Tribe
38,Klamath Tribes
38,Modoc Tribe
39,Klamath Tribes
40,Confederated Tribes of the Warm Springs Reservation
41,Confederated Tribes of the Warm Springs Reservation
42,Confederated Tribes of the Umatilla Reservation
43,Confederated Tribes of the Umatilla Reservation
44,Confederated Tribes of the Umatilla Reservation
45,Nez Perce Tribe
46,Bishop Paiute Tribe
46,Burns Paiute
47,Bishop Paiute Tribe
47,Burns Paiute
48,Bishop Paiute Tribe
48,Burns Paiute
49,Bishop Paiute Tribe
49,Burns Paiute
50,Confederated Tribes and Bands of the Yakama Nation
50,Quinault Indian Nation
50,Confederated Tribes of the Chehalis Reservation
50,Shoalwater Bay Tribe
51,Spokane Tribe
